TIME,PONTOS,JOGOS,VITORIAS,EMPATES,DERROTAS,GOLS_PRO,GOLS_CONTRA,SALDO
Botafogo (RJ),79,38,23,10,5,59,29,30
Palmeiras,73,38,22,7,9,60,33,27
Flamengo,70,38,20,10,8,61,42,19
Fortaleza,68,38,19,11,8,53,39,14
Internacional,65,38,18,11,9,53,36,17
São Paulo,59,38,17,8,13,53,43,10
Corinthians,56,38,15,11,12,54,45,9
Bahia,53,38,15,8,15,49,49,0
Cruzeiro,52,38,14,10,14,43,41,2
Vasco da Gama,50,38,14,8,16,43,56,-13
Vitória,47,38,13,8,17,45,52,-7
Atlético Mineiro,47,38,11,14,13,47,54,-7
Fluminense,46,38,12,10,16,33,39,-6
Grêmio,45,38,12,9,17,44,50,-6
Juventude,44,37,11,11,15,47,58,-11
RB Bragantino,44,38,10,14,14,44,48,-4
Ath Paranaense,42,38,11,9,18,40,46,-6
Criciúma,37,37,9,10,18,41,60,-19
Atl Goianiense,30,38,7,9,22,29,58,-29
Cuiabá,30,38,6,12,20,29,49,-20
